ticker,1w_return_pct,1m_return_pct,3m_return_pct,6m_return_pct
CP,-1.3944,-8.4956,-6.2466,-13.2144
TRV,1.0978,8.9615,6.6101,6.1497
GM,-4.4617,16.2727,19.2701,38.2870
NSC,-1.4569,-1.9603,-0.5010,19.2406
VRT,-11.5817,-4.5488,28.7345,60.3983
PWR,-5.9027,-2.3175,11.7668,24.2593
NWG,-3.8937,7.9861,4.9258,13.4354
TRI,1.3349,-13.3287,-21.4678,-29.3568
DDOG,-10.2118,17.3056,39.0224,57.7315
CMI,-6.2921,10.2069,13.4182,41.9431
MSI,-4.5419,-15.4820,-18.1256,-11.3696
B,6.3239,11.0132,54.3625,97.6433
FDX,3.8521,10.8789,13.8248,23.1829
ADSK,-2.2379,-3.8283,0.9663,-0.3055
HLT,-3.2035,2.1036,-2.1494,7.8178
EQNR,0.3098,5.0389,1.8239,2.8154
FTNT,-0.4108,-1.7953,4.9328,-20.3209
ALNY,3.6733,-4.9297,-0.0775,56.5128
KMI,0.3699,0.3192,4.0432,1.0475
WDAY,-0.8247,-3.4835,-1.6102,-15.8077
SRE,-1.3342,0.4491,11.7508,21.2587
EOG,2.3646,2.7019,-6.1222,-0.2973
CNI,1.0634,-0.1725,1.9124,-8.8106
VST,-7.5101,-13.5138,-9.9176,14.7816
MPC,-0.2597,6.1690,19.8079,25.6798
AFL,-1.3471,4.0293,5.3993,8.8095
E,1.3553,9.5977,9.4719,29.5516
ET,1.2882,4.8353,-0.6028,-1.0441
MFC,0.5986,6.2263,10.5229,9.2298
PYPL,-7.1019,-8.7005,-10.8689,-14.1033
TRP,2.4930,6.2986,6.8386,11.1228
APD,-1.8458,0.1817,-12.0199,-4.7107
TFC,-1.4403,4.3900,0.6567,15.0727
STX,-12.1195,14.6229,64.1071,149.4979
FCX,-4.7131,-5.2453,-5.5476,3.3652
WBD,-2.0453,23.7493,94.7232,151.5084
ARGX,6.3139,9.6117,40.7770,58.0904
BDX,6.2961,2.1027,-1.9716,12.7970
PSX,-1.4064,5.7477,11.8933,23.5002
MSTR,-19.8468,-33.9463,-43.1114,-52.4523
DLR,-7.0859,-8.9793,-4.9449,-4.6953
ALL,2.3248,6.5145,-0.3427,2.6114
VLO,-0.3069,13.2218,29.5077,40.9156
WDC,-8.7877,25.9192,109.7219,222.0679
LHX,-2.9596,1.5289,6.3375,25.0777
MPLX,1.8540,10.1100,8.5348,8.3620
SLB,-2.8854,9.8529,8.3739,7.5769
IDXX,-5.3700,5.6791,5.4617,34.0637
SU,3.1656,15.2760,15.9672,28.0328
VALE,-0.6098,10.1351,25.9011,30.9915
ZTS,-0.7388,-17.1741,-23.3513,-25.8437
O,0.7253,-4.8133,-2.4352,5.6997
D,0.5586,1.0399,1.0008,10.8483
DEO,-2.2409,-4.8243,-16.4072,-16.3118
URI,-5.0509,-17.2385,-11.3878,16.8375
ROST,-2.5043,0.9948,7.0381,3.9692
F,-2.4308,8.9648,12.1641,25.6013
CPNG,-3.5097,-10.5895,-3.2756,1.9175
EA,-0.2135,0.3345,17.8767,33.8555
PCAR,-4.4064,-0.0755,-4.8677,0.6358
MET,-2.7598,-3.6553,-3.9735,-2.2205
EW,1.1656,13.9603,7.7664,11.7740
IMO,3.2856,16.0141,19.4846,37.9142
CAH,0.6864,32.2422,39.2535,35.7698
NDAQ,-2.5507,-3.3977,-8.5349,6.7574
XEL,0.8955,-0.0493,11.6571,17.8999
ROP,-1.0482,-11.7765,-16.2875,-22.0518
NXPI,-7.5221,-11.4999,-16.8777,-6.7626
PSA,-1.0081,-12.2167,-5.0530,-6.8531
WPM,-0.7868,-2.9496,11.5194,19.2696
EXC,2.8157,-1.3225,5.3825,7.6442
BKR,-2.2336,6.1015,11.6104,31.4871
ZS,-10.9966,-2.5039,6.4790,17.6954
VEEV,-4.5139,-0.4688,-0.6858,20.1702
TCOM,-3.7359,1.0265,9.2507,13.8313
LNG,1.6923,-1.4864,-6.3778,-5.7325
FERG,-6.1648,-0.3630,1.9677,33.1583
ARES,-7.9757,-0.5357,-21.3722,-10.0798
RKT,-4.5375,-2.1308,-11.5781,33.2108
FAST,-3.6276,-5.6591,-19.7251,-1.1875
FER,-1.4096,0.0684,16.2640,21.6098
CARR,-7.2301,-5.0009,-20.2904,-25.7224
TAK,3.2458,0.8191,-6.8750,-1.1522
AME,-3.3483,3.1865,3.5059,8.0727
CBRE,-1.1987,-4.5252,-6.2320,24.1085
GWW,-3.3580,-3.6390,-7.5510,-14.6986
KR,2.9359,-3.8528,-6.2049,-3.2381
LVS,-2.2985,33.6480,21.0312,61.7061
CTVA,-1.9829,4.6580,-11.0272,-6.3641
HLN,0.8380,1.7954,-0.9220,-12.5292
WCN,1.6361,-2.4947,-9.4081,-13.7754
HEI,-6.2427,0.9802,1.8059,15.3521
OKE,0.9573,2.2474,-5.2785,-13.8400
TTWO,-0.5704,-10.9527,1.9115,2.6305
ETR,-1.7532,-0.4513,7.4288,16.3152
AXON,-7.6709,-19.5087,-28.8083,-26.5904
MPWR,-9.1426,-11.7056,5.1863,31.2223
MSCI,-2.1732,5.6259,-0.6597,1.0915
FANG,2.0524,6.1906,6.2899,9.1360
JD,-6.0490,-10.7650,-5.5378,-12.3031
ONC,14.9538,19.5967,21.0931,60.0186
INSM,1.7455,17.8029,53.5021,195.7740
AIG,-0.1950,-0.7627,-5.0054,-6.0532
FICO,-0.2107,8.4554,26.5508,2.6172
ROK,-5.9682,5.8189,7.0973,22.3791
YUM,0.4789,2.5611,-1.5241,2.7299
OXY,0.1469,2.3506,-4.2649,2.8934
A,-1.1820,1.9095,20.6564,33.3446
PEG,-1.6098,-3.3628,-2.4134,6.8200
DHI,-3.9372,-9.6376,-17.3886,16.4404
AMP,-4.4067,-6.3078,-12.9720,-13.5237
CCEP,0.5497,1.3382,1.4951,3.1612
ABEV,4.0984,12.8889,17.0507,2.2357
TGT,-1.1056,-1.2253,-14.8378,-2.4836
CMG,-0.0492,-27.2217,-29.5607,-40.0177
CPRT,-0.2632,-6.8539,-13.6143,-32.3932
PAYX,-1.1661,-12.1010,-19.9734,-28.2494
BIDU,-13.1726,-4.2663,28.9884,34.4057
CCI,-1.5899,-7.2938,-10.7709,-9.0130
AU,4.8583,5.1990,51.1994,82.9166
TEAM,-8.6376,-4.3205,-12.5293,-30.4943
ALC,2.8903,1.9040,-15.0687,-12.5656
SNDK,-2.9091,85.6129,483.5690,573.9769
HMC,-1.6961,-5.9701,-14.8398,-2.8495
FNV,-0.3233,-4.6541,12.0012,17.4976
HEI.A,-6.4044,0.9588,1.6084,13.7413
ED,5.5578,2.4805,2.5717,-0.6300
VTR,3.7646,11.6256,16.8049,25.7329
EBAY,-3.4398,-10.6075,-17.4013,15.7280
IQV,1.8681,6.1012,12.8308,58.0814
CCJ,-12.6379,-4.9197,11.5280,57.8110
VMC,-4.6442,-5.2930,-4.4813,3.7509
EQT,0.0509,9.3653,17.0256,6.4909
HIG,0.7947,5.9778,0.4631,2.5713
KDP,3.3116,-3.7281,-22.6032,-18.3713
NOK,-3.9455,16.6376,59.0261,26.7732
CRWV,-30.6032,-46.4528,-21.1002,-31.7534
GFI,-7.1192,-8.9708,33.9816,78.3379
HSY,6.3081,-4.3544,-0.6666,19.5982
GRMN,-6.6295,-23.9769,-18.6125,-4.9257
WEC,0.0345,-3.7498,3.6677,6.4198
DAL,-4.6619,-6.3883,-7.4370,16.4238
PRU,-3.4860,2.5827,-2.8047,2.7449
TRGP,-0.7848,13.8543,5.2853,6.1823
BBD,0.2770,9.6970,26.5734,34.8801
SYY,1.1129,-5.6313,-4.5135,5.8197
PCG,-1.3587,-0.5177,4.8856,-5.7962
PUK,-2.6096,4.4403,6.0014,23.8082
RMD,-1.8342,-8.4216,-14.1685,0.0995
TKO,2.3441,-3.1224,-0.4538,15.4208
CLS,-11.1430,10.7611,65.7608,168.5346
XYZ,-12.2156,-22.0213,-21.0767,5.7720
MLM,-4.4976,-5.8155,-2.9511,5.4704
RDDT,-9.0577,-4.7474,-18.6191,93.7350
CTSH,-1.9347,8.1568,0.8609,-10.2539
CVE,1.2234,7.6101,21.6588,37.7428
OTIS,-2.0275,-3.1329,-0.1806,-8.9867
XYL,-6.7560,-3.4713,-0.4191,12.7540
KMB,-0.1600,-15.2462,-21.8211,-25.6285
WAB,-4.5757,3.2145,4.0019,0.0453
NUE,4.1637,12.7637,2.2569,34.1121
FISV,-1.8809,-48.5409,-54.9996,-61.4104
FLUT,-16.6848,-23.9657,-34.1381,-20.1950
SYM,-20.1585,-17.5950,20.6494,111.1589
CCL,-5.9502,-10.6676,-14.4741,14.7459
ACGL,2.5058,6.3923,0.2178,-0.8724
FIS,-2.2005,-4.2633,-7.1468,-18.2873
SLF,1.3772,-2.7576,0.9082,-5.7529
CHT,-0.5413,-3.0067,-7.7091,-0.3011
ERIC,-1.1294,0.9434,27.5322,10.6910
RYAAY,-4.7323,-0.9358,-6.2454,12.5396
WDS,-0.4067,18.6981,3.2530,24.2029
UI,-8.4778,-27.9357,38.9495,37.2796
GEHC,-3.6064,-4.3051,-4.2016,1.8891
SOFI,-12.7374,0.4145,17.1429,108.2031
VICI,-1.3618,-2.7362,-6.2651,-1.6294
FIX,-6.6237,9.8676,32.9984,95.6505
KB,-3.4944,5.2788,9.2600,21.2829
STT,-5.9028,1.1269,2.0661,19.6096
KVUE,-1.5782,7.9485,-23.1953,-30.5684
NRG,-2.1953,-3.1181,10.1756,5.4286
EL,-3.8603,-14.4969,-3.7498,36.5743
FMX,-1.2877,-2.6746,10.6222,-11.1926
QSR,-2.1538,0.4601,2.6820,-0.6139
ASX,-7.0546,12.3821,45.4222,50.9565
KGC,-1.9654,-0.6374,33.5790,70.9703
RJF,-4.3136,-4.0529,-5.3507,5.0138
WTW,-0.7649,-3.3318,-4.6084,3.2655
LYV,-8.1479,-15.1556,-19.1713,-8.6703
VRSK,2.7566,-5.8234,-19.1225,-29.7215
STLA,-3.7645,-5.5871,0.3018,-5.6764
MT,-0.8087,2.0010,13.7352,27.2698
EXPE,-8.4950,14.2066,18.1182,54.5882
KEYS,-5.1360,7.3340,6.4870,7.1490
TME,-12.5986,-15.7648,-25.5239,10.8593
CHTR,-3.8679,-20.0861,-24.2313,-51.3022
VOD,4.4017,4.6701,4.3126,20.2051
WRB,1.9778,4.4429,8.2098,6.6386
LEN,-6.8744,-8.8062,-14.1686,9.5621
KHC,1.0254,-3.4875,-9.6795,-4.7420
IR,-4.6162,-4.5792,-7.7105,-9.2226
EXR,0.4061,-13.5344,-4.9989,-7.8887
UAL,-6.7714,-9.5925,-12.2908,22.2283
K,0.0420,0.3189,4.8808,2.9476
IX,1.1481,2.4459,-1.8063,24.2704
WIT,0.9542,0.1894,-3.8182,-6.9512
LPLA,-4.3916,6.1951,2.1623,-4.8930
NTR,-2.3414,0.2438,1.3559,-2.6393
FOXA,-3.0813,11.0384,11.3966,17.4775
DTE,-0.8984,-2.8672,-0.5317,2.9436
MTD,-2.9102,3.0831,5.1649,22.7326
ATO,-1.0885,-0.3316,6.5913,13.2277
AEE,0.7380,-0.3885,3.9286,10.5192
NTRA,-0.2904,13.3964,28.6722,36.3624
